"info__year","info__version","info__description","info__contributor","info__url","info__date_created","licenses__id","licenses__url","licenses__name","categories__id","categories__name","categories__supercategory","images__id","images__license","images__file_name","images__height","images__width","images__date_captured","annotations__id","annotations__image_id","annotations__category_id","annotations__bbox__001","annotations__bbox__002","annotations__bbox__003","annotations__bbox__004","annotations__area","annotations__iscrowd"
"","","","","","","","","","","","","11","1","c_34_jpg.rf.64b65512979036d781ea1e59259af086.jpg","320","480","2022-12-09T13:35:51+00:00","11","4","2","215","82","102.24","252.35","25800.264","0"
"","","","","","","","","","","","","12","1","istockphoto-1224137500-612x612_jpg.rf.64f5981c1826fe7535ff6310df6f2aa8.jpg","408","612","2022-12-09T13:35:51+00:00","12","4","2","327","111","87.51","196.47","17193.09","0"
"","","","","","","","","","","","","13","1","mature-blind-person-white-cane-crossing-street-city-161535790_jpeg.rf.644f32cea969cc85f468f1999975479d.jpg","900","600","2022-12-09T13:35:51+00:00","13","4","3","148","132","10.02","27.19","272.444","0"
"","","","","","","","","","","","","14","1","istockphoto-1145970268-612x612_jpeg.rf.64598d7f510f43f774b4c613a381a2d0.jpg","459","612","2022-12-09T13:35:51+00:00","14","4","3","136","134","9.53","24.92","237.488","0"
"","","","","","","","","","","","","15","1","school-children-cross-road-medical-600w-1698883162_jpg.rf.65f8f8fbd78b4781a5ac9ee453420b42.jpg","420","600","2022-12-09T13:35:51+00:00","15","4","3","0","137","19.13","43.58","833.685","0"
"","","","","","","","","","","","","16","1","c_238_jpg.rf.65c4f5f357f16dd2c53bcc53a4bd9107.jpg","320","480","2022-12-09T13:35:51+00:00","16","5","3","236","129","59.9","202.35","12120.765","0"
"","","","","","","","","","","","","17","1","istockphoto-1042400434-612x612_jpeg.rf.66089777c1cea5ecdaef7bd087bb93f3.jpg","408","612","2022-12-09T13:35:51+00:00","17","5","1","116","180","69.33","120.59","8360.505","0"
"","","","","","","","","","","","","18","1","c_450_jpg.rf.65ba0a39459628e98bcbb5b792f96990.jpg","183","275","2022-12-09T13:35:51+00:00","18","5","1","462","188","69.25","111.18","7699.215","0"
"","","","","","","","","","","","","19","1","istockphoto-1184221133-612x612_jpeg.rf.64f3cd3f76de95f5fcfe8094c25f7f09.jpg","395","612","2022-12-09T13:35:51+00:00","19","6","1","5","65","33.89","66.34","2248.263","0"
"","","","","","","","","","","","","20","1","istockphoto-1256400522-612x612_jpg.rf.665b74f495f05e5df78eea3f58874874.jpg","408","612","2022-12-09T13:35:51+00:00","20","6","1","39","69","32.9","66.83","2198.707","0"
"","","","","","","","","","","","","21","1","c_185_jpg.rf.66a162bfce3e8bbe145b3bb5c0ef236c.jpg","320","480","2022-12-09T13:35:51+00:00","21","6","1","72","69","22.17","60.49","1341.063","0"
"","","","","","","","","","","","","22","1","d_373_jpg.rf.670c3afeb830da179b37a19b744d5a39.jpg","344","612","2022-12-09T13:35:51+00:00","22","6","1","95","64","26.55","62.68","1664.154","0"
"","","","","","","","","","","","","23","1","s_220_jpg.rf.660ab1f39a537094ee29100cabb10ca0.jpg","174","333","2022-12-09T13:35:51+00:00","23","6","1","135","63","21.66","56.34","1220.324","0"
"","","","","","","","","","","","","24","1","istockphoto-146877953-612x612_jpeg.rf.6740f85cdc88dcb2b23424ef42b79d15.jpg","460","612","2022-12-09T13:35:51+00:00","24","6","1","159","57","25.32","63.41","1605.541","0"
"","","","","","","","","","","","","25","1","istockphoto-1145265161-612x612_jpg.rf.66c15fd9dde8dacbfd36ce7c20dbc268.jpg","408","612","2022-12-09T13:35:51+00:00","25","6","1","185","55","19.21","61.22","1176.036","0"
"","","","","","","","","","","","","26","1","c_490_jpg.rf.67561c84085da6d0ab5ddd6510be3891.jpg","320","461","2022-12-09T13:35:51+00:00","26","6","1","209","55","20.43","59.51","1215.789","0"
"","","","","","","","","","","","","27","1","c_152_jpg.rf.67d6632d4cb526ae1ccc4bc33117c897.jpg","320","480","2022-12-09T13:35:51+00:00","27","6","1","231","59","17.5","56.1","981.75","0"
"","","","","","","","","","","","","28","1","bayamon-puerto-ricousa-february-11-600w-1528452500_jpg.rf.687ba9ee7e758b50cf2d07dd0cc7c173.jpg","435","600","2022-12-09T13:35:51+00:00","28","6","1","249","57","26.76","56.1","1501.236","0"
"","","","","","","","","","","","","29","1","istockphoto-1198263186-612x612_jpeg.rf.67e4feefc3c63664f111d2d37a3a08ef.jpg","408","612","2022-12-09T13:35:51+00:00","29","6","3","277","3","40.35","116.59","4704.407","0"
"","","","","","","","","","","","","30","1","istockphoto-173761585-612x612_jpg.rf.69063e6159ce3816ccdee596020a235f.jpg","408","612","2022-12-09T13:35:51+00:00","30","6","1","117","54","19.71","72.47","1428.384","0"
"","","","","","","","","","","","","31","1","c_116_jpg.rf.67d18c752e446c1612208c6cfafeff67.jpg","184","274","2022-12-09T13:35:51+00:00","31","7","4","80","58","55.98","85.92","4809.802","0"
"","","","","","","","","","","","","32","1","lodi-italy-october-3-checkpoint-600w-183070868_jpg.rf.68e64389e32bd2902687c76964725519.jpg","419","600","2022-12-09T13:35:51+00:00","32","7","4","142","73","48.07","76.59","3681.681","0"
"","","","","","","","","","","","","33","1","young-man-walking-on-urban-600w-1200380641_jpg.rf.683ddfeec8bd2edfb9ecb94fb3a98496.jpg","358","600","2022-12-09T13:35:51+00:00","33","7","3","215","37","18.92","47.84","905.133","0"
"","","","","","","","","","","","","34","1","istockphoto-1264517767-612x612_jpeg.rf.693dc6dea95ac1979cdb9e0f2bd5e41e.jpg","408","612","2022-12-09T13:35:51+00:00","34","8","4","56","93","39.28","68.11","2675.361","0"
"","","","","","","","","","","","","35","1","woman-crosses-road-zebra-pensioner-russia-walks-down-street-man-pedestrian-crossing-shooting-back-252227450_jpeg.rf.69dc04ea831b6441db38340f9cd3e834.jpg","533","800","2022-12-09T13:35:51+00:00","35","8","3","89","78","27.83","72.69","2022.963","0"
"","","","","","","","","","","","","36","1","66_jpg.rf.68ee3fe8004d1959c7021c1d0c4fd62d.jpg","192","262","2022-12-09T13:35:51+00:00","36","8","3","125","77","44.31","92.18","4084.496","0"
"","","","","","","","","","","","","37","1","d_313_jpg.rf.6a1561139683693bcba93d8d36a0571c.jpg","612","408","2022-12-09T13:35:51+00:00","37","9","1","293","63","122.36","336.25","41143.55","0"
"","","","","","","","","","","","","38","1","34r4t4_jpeg.rf.6a42d6dd1687085a5f523d352ca40350.jpg","168","299","2022-12-09T13:35:51+00:00","38","10","1","338","9","171.74","390.62","67085.079","0"
"","","","","","","","","","","","","39","1","istockphoto-1249412672-612x612_jpeg.rf.6a8144caf9afd3345345d1be9e4baf5f.jpg","408","612","2022-12-09T13:35:51+00:00","39","11","1","357","145","63.63","143.05","9102.272","0"
"","","","","","","","","","","","","40","1","114_jpg.rf.6ab8b6369982a2f61c4ab439da8c1480.jpg","320","213","2022-12-09T13:35:51+00:00","40","11","1","259","131","74.65","137.62","10273.333","0"
"","","","","","","","","","","","","41","1","d_268_jpg.rf.6b27ecf91826684209842176467b486b.jpg","320","480","2022-12-09T13:35:51+00:00","41","11","1","156","60","99.43","198.57","19743.815","0"
"","","","","","","","","","","","","42","1","None1350_jpg.rf.6afcf3141751a64da1536aee8bc1e4cb.jpg","638","1024","2022-12-09T13:35:51+00:00","42","11","1","79","119","66.52","128.62","8555.802","0"
"","","","","","","","","","","","","43","1","istockphoto-1412190554-612x612_jpeg.rf.6c0be25a83b496f12015331ad9268577.jpg","321","612","2022-12-09T13:35:51+00:00","43","11","1","114","74","62.95","170.49","10732.346","0"
"","","","","","","","","","","","","44","1","istockphoto-1309265621-612x612_jpeg.rf.6b73b9b2579c91e48f4e133d190a9691.jpg","408","612","2022-12-09T13:35:51+00:00","44","12","4","430","217","125.72","139.41","17526.625","0"
"","","","","","","","","","","","","45","1","istockphoto-1400398022-612x612_jpeg.rf.679b345e9c7b9be735e7bfccd0afe037.jpg","459","612","2022-12-09T13:35:51+00:00","45","13","4","203","176","216","701.25","151470","0"
"","","","","","","","","","","","","46","1","c_453_jpg.rf.6c4a528755e405a61e5eb70ef355d897.jpg","320","402","2022-12-09T13:35:51+00:00","46","14","3","316","193","30.54","78","2382.12","0"
"","","","","","","","","","","","","47","1","s_122_jpg.rf.6b0cf7bc2bf192513b2d34e52ed4b052.jpg","183","275","2022-12-09T13:35:51+00:00","47","14","3","354","194","39.19","84.67","3318.217","0"
"","","","","","","","","","","","","48","1","218_jpg.rf.6c50a2927390eb60d6b024c4929aa7a8.jpg","956","1300","2022-12-09T13:35:51+00:00","48","14","3","448","255","67.83","161.33","10943.014","0"
"","","","","","","","","","","","","49","1","kids_crossing_the_street_1_800_450_90_jpeg.rf.6aaa44eb06b6829eddc739d7664a1009.jpg","450","800","2022-12-09T13:35:51+00:00","49","14","3","446","170","25.15","31.16","783.674","0"
"","","","","","","","","","","","","50","1","bigstock-Student-at-crosswalk-9513797-jpg-optimal_jpg.rf.6931d0110839caf0961eb201a4e41885.jpg","600","900","2022-12-09T13:35:51+00:00","50","15","1","0","0","75.17","272.5","20483.825","0"
"","","","","","","","","","","","","51","1","istockphoto-1082911750-612x612_jpg.rf.6ac13238498a79e83135415e2a30ba04.jpg","408","612","2022-12-09T13:35:51+00:00","51","15","1","98","0","129.28","261.25","33774.4","0"
"","","","","","","","","","","","","52","1","manhattan-street-scene-new-york-usa-may-new-yorkers-hurry-their-business-elderly-man-crosses-86692716_jpeg.rf.6ca298085805d7c47be3e1670f0a59b8.jpg","810","800","2022-12-09T13:35:51+00:00","52","15","1","257","0","174.86","276.25","48305.075","0"
"","","","","","","","","","","","","53","1","c_542_jpg.rf.6b720a2466fa90546cff74d33e2bf29a.jpg","251","480","2022-12-09T13:35:51+00:00","53","15","1","411","0","97.34","244.38","23787.949","0"
"","","","","","","","","","","","","54","1","istockphoto-1410979602-612x612_jpeg.rf.6ce9da460bff12e9993a07fe11ccc287.jpg","408","612","2022-12-09T13:35:51+00:00","54","15","1","437","0","132.94","270","35893.8","0"
"","","","","","","","","","","","","55","1","images-4-_jpeg.rf.6a81f0e5d0885402eeec255b6942d4f6.jpg","174","290","2022-12-09T13:35:51+00:00","55","16","1","53","85","99.38","219.9","21853.662","0"
"","","","","","","","","","","","","56","1","b6ef3f57-4153-44c9-bb0d-aa6052f34f05_1920x1080_png.rf.6a5bb3e60e0a4685ae002009bf1eb375.jpg","1080","1920","2022-12-09T13:35:51+00:00","56","16","1","208","64","122.27","238.57","29169.954","0"
"","","","","","","","","","","","","57","1","senior-couple-hague-watching-whale-sculpture-floor-astonished-curious-face-72589941_jpeg.rf.6cdec6e6af839943b09ee618bb9d423d.jpg","533","800","2022-12-09T13:35:51+00:00","57","16","1","120","96","93.54","190.83","17850.238","0"
"","","","","","","","","","","","","58","1","s_60_jpg.rf.681d6a80cef734cae0d374372e54ec69.jpg","196","258","2022-12-09T13:35:51+00:00","58","17","3","184","105","150.48","264.71","39833.561","0"
"","","","","","","","","","","","","59","1","c_390_jpg.rf.6c078fd7b33c914927141852739312f5.jpg","320","480","2022-12-09T13:35:51+00:00","59","18","1","142","78","28.05","91.35","2562.367","0"
"","","","","","","","","","","","","60","1","s_53_jpg.rf.69a4f2e273ccd50586caaeecb5830375.jpg","578","770","2022-12-09T13:35:51+00:00","60","18","1","111","79","26.71","101.08","2699.847","0"
"","","","","","","","","","","","","61","1","s_529_jpg.rf.6c5cc4e1658b58795b261fa919c4c8e7.jpg","408","612","2022-12-09T13:35:51+00:00","61","18","1","100","80","23.72","92.43","2192.44","0"
"","","","","","","","","","","","","62","1","s_11_jpg.rf.6c9a9210e6dcf6a9a0b6cf07ca51df41.jpg","1500","1000","2022-12-09T13:35:51+00:00","62","18","1","217","84","11.19","31.67","354.387","0"
"","","","","","","","","","","","","63","1","kyiv-ukraine-november-16-2022-600w-2227812353_jpg.rf.6a5a143aed005b488ccdc8ebaff6fef6.jpg","420","600","2022-12-09T13:35:51+00:00","63","18","1","234","85","11.24","27.52","309.325","0"
"","","","","","","","","","","","","64","1","700-00048130en_Masterfile_jpeg.rf.6ceb75190afc10732a736e6781b43aae.jpg","306","450","2022-12-09T13:35:51+00:00","64","18","1","244","84","10.28","27.96","287.429","0"
"","","","","","","","","","","","","65","1","1200x0_jpeg.rf.6cf6ab987b7942413c6f91b9bda40d07.jpg","799","1200","2022-12-09T13:35:51+00:00","65","18","1","138","84","31.67","63.82","2021.179","0"
"","","","","","","","","","","","","66","1","c_66_jpg.rf.6e075d1b69c221ed3005ecfc72edae23.jpg","320","480","2022-12-09T13:35:51+00:00","66","18","1","167","85","11.33","30.32","343.526","0"
"","","","","","","","","","","","","67","1","istockphoto-170462659-612x612_jpeg.rf.6d65e3fab31393b09916ed03f6271f43.jpg","413","612","2022-12-09T13:35:51+00:00","67","18","1","186","84","10.91","29.96","326.864","0"
"","","","","","","","","","","","","68","1","scared-girl-phone-headphones-runs-600w-1913300794_jpg.rf.6e153793668ab333abdfa4d9ec44b3ab.jpg","420","600","2022-12-09T13:35:51+00:00","68","18","1","205","85","9.67","26.59","257.125","0"
"","","","","","","","","","","","","69","1","c_101_jpg.rf.6d89ecc22d65cc66db614020d222f594.jpg","320","480","2022-12-09T13:35:51+00:00","69","19","1","94","310","18.76","60","1125.6","0"
"","","","","","","","","","","","","70","1","s_325_jpg.rf.6e633ed87a4d7793e14997f8fcdd6a0e.jpg","167","319","2022-12-09T13:35:51+00:00","70","19","1","113","315","19.35","51.18","990.333","0"
"","","","","","","","","","","","","71","1","young-family-walk-autumn-park-600w-552922546_jpg.rf.6e08adf8d08c52fd66b7be4a649d7e2b.jpg","420","600","2022-12-09T13:35:51+00:00","71","19","3","74","299","19.94","67.65","1348.941","0"
"","","","","","","","","","","","","72","1","s_39_jpg.rf.6e4d027af82602bb7796311d1d56f9aa.jpg","225","400","2022-12-09T13:35:51+00:00","72","19","3","446","287","29.27","46.47","1360.177","0"
"","","","","","","","","","","","","73","1","back-school-education-concept-girl-600w-1431636248_jpg.rf.6eef30363cf78d7c17a71a051dc96356.jpg","420","600","2022-12-09T13:35:51+00:00","73","19","3","407","296","23.98","42.35","1015.553","0"
"","","","","","","","","","","","","74","1","20_jpg.rf.6ef1e5bb51d93ec178c7b28c19bbb09d.jpg","273","184","2022-12-09T13:35:51+00:00","74","19","3","238","287","45.19","76.47","3455.679","0"
"","","","","","","","","","","","","75","1","45y57iwh44656_jpeg.rf.6efef7062ec7deeb1ad89cae2d51ce8c.jpg","168","299","2022-12-09T13:35:51+00:00","75","19","3","523","278","25.72","61.76","1588.467","0"
"","","","","","","","","","","","","76","1","d_337_jpg.rf.6ff88027aeda324dcd5ec82ede9ef254.jpg","408","612","2022-12-09T13:35:51+00:00","76","19","3","554","267","29.83","62.94","1877.5","0"
"","","","","","","","","","","","","77","1","s_87_jpg.rf.702a0b110035372a308b3e6653faf64d.jpg","183","275","2022-12-09T13:35:51+00:00","77","19","3","111","301","24.07","56.84","1368.139","0"
"","","","","","","","","","","","","78","1","e4ytj67l8_jpeg.rf.70fdc4cb2c1f1e499f4ee5ff5a2dd8d4.jpg","168","299","2022-12-09T13:35:51+00:00","78","19","3","210","296","13.13","21.15","277.7","0"
"","","","","","","","","","","","","79","1","s_355_jpg.rf.6ecc0e681d18d618b0acf223ab616cc5.jpg","174","261","2022-12-09T13:35:51+00:00","79","19","3","221","299","9.59","17.91","171.757","0"
"","","","","","","","","","","","","80","1","9_jpg.rf.704fff58115eb7f5a5455a7b830d8c3a.jpg","168","300","2022-12-09T13:35:51+00:00","80","20","4","224","149","79.31","112.35","8910.478","0"
"","","","","","","","","","","","","81","1","c_357_jpg.rf.7014f7d642d942aa259dd8eabc3996d3.jpg","320","480","2022-12-09T13:35:51+00:00","81","20","3","171","135","35.8","87.65","3137.87","0"
"","","","","","","","","","","","","82","1","d_282_jpg.rf.6edcff9a3f26d8f518f55c7cbbc0fa9c.jpg","270","480","2022-12-09T13:35:51+00:00","82","20","3","326","142","21.06","61.18","1288.451","0"
"","","","","","","","","","","","","83","1","istockphoto-518813972-612x612_jpeg.rf.7124f41d214b85444b998f81015cf9cd.jpg","409","612","2022-12-09T13:35:51+00:00","83","20","3","289","145","18.13","49.41","895.803","0"
"","","","","","","","","","","","","84","1","few4f54gh7_jpeg.rf.6f12acc34edb195a8afdc3faaf478919.jpg","183","275","2022-12-09T13:35:51+00:00","84","20","3","163","129","25.22","82.94","2091.747","0"
"","","","","","","","","","","","","85","1","c_350_jpg.rf.70d0c924d67ca398f47cb46488e494e1.jpg","253","480","2022-12-09T13:35:51+00:00","85","21","1","46","54","91.84","255.24","23441.242","0"
"","","","","","","","","","","","","86","1","c_242_jpg.rf.70f5cc2ff87d24b51ed4f9a65e3fd00d.jpg","320","480","2022-12-09T13:35:51+00:00","86","21","1","1","33","43.77","268.57","11755.309","0"
"","","","","","","","","","","","","87","1","istockphoto-629628262-612x612_jpeg.rf.71316f3a2edd3aa873a90bb8ac3c5a44.jpg","353","612","2022-12-09T13:35:51+00:00","87","21","1","224","2","87.52","169.05","14795.256","0"
"","","","","","","","","","","","","88","1","istockphoto-641156502-612x612_jpeg.rf.7188707e4e2ba03ca82ade4cd03c0f39.jpg","408","612","2022-12-09T13:35:51+00:00","88","21","1","395","15","80.33","222.86","17902.344","0"
"","","","","","","","","","","","","89","1","s_20_jpg.rf.6ee105a17a3518989f9742887e2cad10.jpg","426","640","2022-12-09T13:35:51+00:00","89","22","4","106","115","90.02","202.11","18193.942","0"
"","","","","","","","","","","","","90","1","6_jpg.rf.719ced04dae12b7de2fc0b25c46076be.jpg","193","262","2022-12-09T13:35:51+00:00","90","23","4","158","1","74.68","173","12919.64","0"
"","","","","","","","","","","","","91","1","d_310_jpg.rf.713866972ee381f6f091c497c2d0152c.jpg","344","612","2022-12-09T13:35:51+00:00","91","23","2","220","66","111.57","105.38","11757.247","0"
"","","","","","","","","","","","","92","1","None1826_jpg.rf.71790bb67bf311904b975f1ae42b8d23.jpg","420","736","2022-12-09T13:35:51+00:00","92","23","2","89","14","67.9","143.59","9749.761","0"
"","","","","","","","","","","","","93","1","d_380_jpg.rf.7305b147a36fabe1189e1670237120a4.jpg","408","612","2022-12-09T13:35:51+00:00","93","23","3","109","25","13.25","28.47","377.227","0"
"","","","","","","","","","","","","94","1","c_219_jpg.rf.72793af14b852d073513c86594b6e808.jpg","183","275","2022-12-09T13:35:51+00:00","94","24","1","135","170","103.9","274","28468.6","0"
"","","","","","","","","","","","","95","1","istockphoto-482480739-612x612_jpeg.rf.7260208c0ee03243698561a71cc44450.jpg","612","457","2022-12-09T13:35:51+00:00","95","24","1","358","141","115.84","286.67","33207.853","0"
"","","","","","","","","","","","","96","1","senior-man-walking-along-summer-city-street-leisure-people-concept-149881906_jpeg.rf.727a2008d2fcf2983388e8d81205d5d1.jpg","569","800","2022-12-09T13:35:51+00:00","96","24","3","238","37","122.53","397.33","48684.845","0"
"","","","","","","","","","","","","97","1","istockphoto-1125695822-612x612_jpeg.rf.727aae8a3bdd46f188dca57db08ee3b2.jpg","411","612","2022-12-09T13:35:51+00:00","97","25","4","132","8","177.54","300.59","53366.749","0"
"","","","","","","","","","","","","98","1","d_317_jpg.rf.73062b36b65ef083b0a1962371c1fd9b.jpg","408","612","2022-12-09T13:35:51+00:00","98","25","3","97","0","98.36","195.1","19190.036","0"
"","","","","","","","","","","","","99","1","None1035_jpg.rf.7312c43bc21933e25b79b14226833f25.jpg","1500","1000","2022-12-09T13:35:51+00:00","99","25","3","25","0","89.32","202.72","18106.95","0"
"","","","","","","","","","","","","100","1","c_88_jpg.rf.7318ae534056f686406ecd554ca3a7ce.jpg","315","480","2022-12-09T13:35:51+00:00","100","25","3","194","0","60.56","80.08","4849.645","0"
"","","","","","","","","","","","","101","1","s_158_jpg.rf.73c2bcc30d53a5a54b83dd722e8c8ed4.jpg","192","262","2022-12-09T13:35:51+00:00","101","26","1","113","27","229.04","293","67108.72","0"
"","","","","","","","","","","","","102","1","d_374_jpg.rf.737f35671ee6660f8d8970ceb4735413.jpg","408","612","2022-12-09T13:35:51+00:00","102","26","1","0","21","176.82","299.05","52878.021","0"
"","","","","","","","","","","","","103","1","istockphoto-182872351-612x612_jpeg.rf.73f7f60b6e0d9a48a9c7cc5143aeb219.jpg","408","612","2022-12-09T13:35:51+00:00","103","27","1","342","63","89.86","161.14","14480.04","0"
"","","","","","","","","","","","","104","1","eg45h5jtjrtk87l_jpeg.rf.73db6889912a203bc6c659d23643be2a.jpg","163","310","2022-12-09T13:35:51+00:00","104","27","1","255","74","84.18","146.19","12306.274","0"
"","","","","","","","","","","","","105","1","Kids-walking-to-school_jpeg.rf.73ea00d86d3629aa842a087db6371939.jpg","377","452","2022-12-09T13:35:51+00:00","105","27","1","106","65","92.78","156.19","14491.308","0"
"","","","","","","","","","","","","106","1","168_jpg.rf.748a0478d057575c282cec4f3bb05778.jpg","320","479","2022-12-09T13:35:51+00:00","106","27","1","200","70","54.67","152.38","8330.615","0"
"","","","","","","","","","","","","107","1","d_344_jpg.rf.749b1ef605cd2cb2fe55cb8f4e8eb478.jpg","408","612","2022-12-09T13:35:51+00:00","107","28","3","294","174","56.13","152.5","8559.825","0"
"","","","","","","","","","","","","108","1","old-people-walking-down-alley-slope-next-to-stone-wall-alvoco-da-serra-portugal-july-two-old-people-walking-down-alley-146765940_jpeg.rf.760796682649b7a2f4e589608159bd73.jpg","531","800","2022-12-09T13:35:51+00:00","108","29","3","287","234","40.48","124.71","5048.261","0"
"","","","","","","","","","","","","109","1","12_jpg.rf.7404de1bd5c70543877280be262b7752.jpg","275","183","2022-12-09T13:35:51+00:00","109","30","4","355","97","231","310.94","71827.14","0"
"","","","","","","","","","","","","110","1","None1976_jpg.rf.759b5a126e574ae0ed5db5319af1f6cd.jpg","514","640","2022-12-09T13:35:51+00:00","110","31","1","187","69","37.77","99.19","3746.406","0"
"","","","","","","","","","","","","111","1","s_66_jpg.rf.74d426b823112bd0b94d5c2512183203.jpg","225","225","2022-12-09T13:35:51+00:00","111","31","1","76","65","59.14","107.57","6361.69","0"
"","","","","","","","","","","","","112","1","000022202200_jpeg.rf.76678baa6917165ddf383524d4b1652f.jpg","463","612","2022-12-09T13:35:51+00:00","112","31","1","170","37","11.29","24.86","280.669","0"
"","","","","","","","","","","","","113","1","636100520087298113-motorized-wheelchair-952190-960-720_jpg.rf.768227a35c851beae79a2b7a478ac31d.jpg","373","660","2022-12-09T13:35:51+00:00","113","31","1","37","44","43.4","120.48","5228.832","0"
"","","","","","","","","","","","","114","1","hanoi-vietnam-january-local-elderly-couple-walk-along-street-center-around-lake-210209429_jpeg.rf.775d9da07bb183e9f6dfed8d269d735f.jpg","533","800","2022-12-09T13:35:51+00:00","114","31","3","74","24","13.75","40.23","553.162","0"
"","","","","","","","","","","","","115","1","None1984_jpg.rf.7591e0bdc43c6f02a9d9423fcc57abd2.jpg","678","1024","2022-12-09T13:35:51+00:00","115","31","3","88","21","17.24","50.63","872.861","0"
"","","","","","","","","","","","","116","1","mother-and-children-cross-road-at-pedestrian-crossing-after-car-drove-mother-and-her-two-children-videos_csp7253005_jpg.rf.776c5d13c4cc55ffd8762203304ca647.jpg","239","400","2022-12-09T13:35:51+00:00","116","31","1","179","36","9.48","22.45","212.826","0"
"","","","","","","","","","","","","117","1","g43h4hgwehr66_jpeg.rf.779756843cab4f1daabedaec37f55732.jpg","168","299","2022-12-09T13:35:51+00:00","117","32","3","225","146","104.88","245","25695.6","0"
"","","","","","","","","","","","","118","1","s_316_jpg.rf.78a6111c2633488471f4572d61c391de.jpg","189","276","2022-12-09T13:35:51+00:00","118","32","3","336","75","81.73","190","15528.7","0"
"","","","","","","","","","","","","119","1","None1982_jpg.rf.781d91cafc8c731ae207d911f7bb5380.jpg","682","1024","2022-12-09T13:35:51+00:00","119","33","3","261","26","98.31","311.05","30579.326","0"
"","","","","","","","","","","","","120","1","children_as_pedestrians_jpeg.rf.78a3e0ce659c24885dff9e8438328ed8.jpg","200","300","2022-12-09T13:35:51+00:00","120","34","1","351","25","111.03","321.76","35725.013","0"
"","","","","","","","","","","","","121","1","istockphoto-1314222921-612x612_jpeg.rf.78a9b99c1d930ed2ef22ed464490816a.jpg","408","612","2022-12-09T13:35:51+00:00","121","35","3","280","87","172.16","406.15","69922.784","0"
"","","","","","","","","","","","","122","1","d_384_jpg.rf.76d5e6aec17d099b94924917c31648ab.jpg","612","408","2022-12-09T13:35:51+00:00","122","36","4","83","6","79.58","114.3","9095.994","0"
"","","","","","","","","","","","","123","1","images-2-_jpeg.rf.79f383e1de8b4b945461bf996e61d864.jpg","247","204","2022-12-09T13:35:51+00:00","123","37","4","24","82","253.92","460.64","116965.709","0"
